미국🇺🇸	1,100,313	64,018	156,089	5.8	14.2	3,324
스페인🇪🇸	239,639	24,824	137,984	10.4	57.6	5,125
이탈리아🇮🇹	205,463	27,967	75,945	13.6	37.0	3,398
영국🇬🇧	171,253	26,771	344	15.6	0.2	2,523
독일🇩🇪	163,331	6,632	126,900	4.1	77.7	1,949
프랑스🇫🇷	129,581	24,376	49,476	18.8	38.2	1,985
터키🇹🇷	120,204	3,174	48,886	2.6	40.7	1,425
러시아🇷🇺	114,431	1,169	13,220	1.0	11.6	784
이란🇮🇷	95,646	6,091	76,318	6.4	79.8	1,139
브라질🇧🇷	87,187	6,006	35,935	6.9	41.2	410
중국🇨🇳	82,874	4,633	77,944	5.6	94.1	58
캐나다🇨🇦	53,657	3,223	22,043	6.0	41.1	1,422
벨기에🇧🇪	49,032	7,703	11,892	15.7	24.3	4,231
네덜란드🇳🇱	39,791	4,893	250	12.3	0.6	2,322
페루🇵🇪	36,976	1,051	10,405	2.8	28.1	1,121
인도🇮🇳	35,043	1,154	9,068	3.3	25.9	25
스위스🇨🇭	29,705	1,749	23,400	5.9	78.8	3,432
포르투갈🇵🇹	25,351	1,007	1,647	4.0	6.5	2,486
에콰도르🇪🇨	24,934	900	1,558	3.6	6.2	1,413
사우디아라비아🇸🇦	24,097	169	3,555	0.7	14.8	692
스웨덴🇸🇪	21,520	2,653	1,005	12.3	4.7	2,131
아일랜드🇮🇪	20,612	1,232	13,386	6.0	64.9	4,174
멕시코🇲🇽	19,224	1,859	11,423	9.7	59.4	149
파키스탄🇵🇰	17,611	406	4,315	2.3	24.5	80
싱가포르🇸🇬	17,101	15	1,244	0.1	7.3	2,923
칠레🇨🇱	16,023	227	8,580	1.4	53.5	838
이스라엘🇮🇱	16,004	223	8,758	1.4	54.7	1,849
오스트리아🇦🇹	15,531	589	13,110	3.8	84.4	1,724
일본🇯🇵*	15,278	490	4,632	3.2	30.3	121
벨라루스🇧🇾	14,917	93	2,918	0.6	19.6	1,579
카타르🇶🇦	14,096	12	1,436	0.1	10.2	4,893
폴란드🇵🇱	13,105	651	3,491	5.0	26.6	346
아랍에미레이트🇦🇪	13,038	111	2,543	0.9	19.5	1,318
루마니아🇷🇴	12,567	726	4,328	5.8	34.4	653
우크라이나🇺🇦	10,861	272	1,413	2.5	13.0	248
대한민국🇰🇷	10,774	248	9,072	2.3	84.2	210
인도네시아🇮🇩	10,551	800	1,591	7.6	15.1	39
덴마크🇩🇰	9,311	460	6,729	4.9	72.3	1,608
세르비아🇷🇸	9,205	185	1,379	2.0	15.0	1,054
필리핀🇵🇭	8,772	579	1,084	6.6	12.4	80
방글라데시🇧🇩	8,238	170	174	2.1	2.1	50
노르웨이🇳🇴	7,759	210	32	2.7	0.4	1,431
체코🇨🇿	7,689	237	3,314	3.1	43.1	718
도미니카 공화국🇩🇴	7,288	313	1,387	4.3	19.0	672
호주🇦🇺	6,767	93	5,745	1.4	84.9	265
파나마🇵🇦	6,532	188	576	2.9	8.8	1,514
콜롬비아🇨🇴	6,507	293	1,439	4.5	22.1	128
말레이시아🇲🇾	6,071	103	4,210	1.7	69.3	188
남아프리카 공화국🇿🇦	5,647	103	2,073	1.8	36.7	95
이집트🇪🇬	5,537	392	1,381	7.1	24.9	54
핀란드🇫🇮	5,051	218	3,000	4.3	59.4	912
모로코🇲🇦	4,529	171	1,055	3.8	23.3	123
아르헨티나🇦🇷	4,428	218	1,256	4.9	28.4	98
쿠웨이트🇰🇼	4,377	30	1,602	0.7	36.6	1,025
알제리🇩🇿	4,006	450	1,779	11.2	44.4	91
몰도바🇲🇩	3,980	122	1,272	3.1	32.0	987
룩셈부르크🇱🇺	3,784	90	3,213	2.4	84.9	6,045
카자흐스탄🇰🇿	3,551	25	866	0.7	24.4	189
바레인🇧🇭	3,169	8	1,553	0.3	49.0	1,862
태국🇹🇭	2,960	54	2,719	1.8	91.9	42
헝가리🇭🇺	2,863	323	609	11.3	21.3	296
그리스🇬🇷	2,591	140	1,374	5.4	53.0	249
오만🇴🇲	2,447	11	495	0.4	20.2	479
아프가니스탄🇦🇫	2,335	68	310	2.9	13.3	60
아르메니아🇦🇲	2,148	33	977	1.5	45.5	725
이라크🇮🇶	2,085	93	1,375	4.5	65.9	52
크로아티아🇭🇷	2,085	75	1,421	3.6	68.2	508
우즈베키스탄🇺🇿	2,075	9	1,182	0.4	57.0	62
가나🇬🇭	2,074	17	212	0.8	10.2	67
나이지리아🇳🇬	1,932	58	319	3.0	16.5	9
아제르바이잔🇦🇿	1,854	25	1,365	1.3	73.6	183
카메룬🇨🇲	1,832	61	934	3.3	51.0	69
아이슬란드🇮🇸	1,798	10	1,689	0.6	93.9	5,269
보스니아 헤르체고비나🇧🇦	1,781	70	755	3.9	42.4	543
에스토니아🇪🇪	1,694	52	253	3.1	14.9	1,277
