 case_id,province,city,group,infection_case,confirmed,latitude,longitude
1000001,서울,용산구,True,Itaewon Clubs,139,37.538621,126.992652
1000002,서울,관악구,True,Richway,119,37.48208,126.901384
1000003,서울,구로구,True,Guro-gu Call Center,95,37.508163,126.884387
1000004,서울,양천구,True,Yangcheon Table Tennis Club,43,37.546061,126.874209
1000005,서울,도봉구,True,Day Care Center,43,37.679422,127.044374
1000006,서울,구로구,True,Manmin Central Church,41,37.481059,126.894343
1000007,서울,타도시,True,SMR Newly Planted Churches Group,36,-,-
1000008,서울,동대문구,True,Dongan Church,17,37.592888,127.056766
1000009,서울,타도시,True,Coupang Logistics Center,25,-,-
1000010,서울,관악구,True,Wangsung Church,30,37.481735,126.930121
1000011,서울,은평구,True,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
1000012,서울,성동구,True,Seongdong-gu APT,13,37.55713,127.0403
1000013,서울,종로구,True,Jongno Community Center,10,37.57681,127.006
1000014,서울,강남구,True,Samsung Medical Center,7,37.48825,127.08559
1000015,서울,중구,True,Jung-gu Fashion Company,7,37.562405,126.984377
1000016,서울,서대문구,True,Yeonana News Class,5,37.558147,126.943799
1000017,서울,종로구,True,Korea Campus Crusade of Christ,7,37.594782,126.968022
1000018,서울,강남구,True,Gangnam Yeoksam-dong gathering,6,-,-
1000019,서울,타도시,True,Daejeon door-to-door sales,1,-,-
1000020,서울,금천구,True,Geumcheon-gu rice milling machine manufacture,6,-,-
1000021,서울,타도시,True,Shincheonji Church,8,-,-
1000022,서울,타도시,True,Guri Collective Infection,5,-,-
1000023,서울,중구,True,KB Life Insurance,13,37.560899,126.966998
1000024,서울,영등포구,True,Yeongdeungpo Learning Institute,3,37.520846,126.931278
1000025,서울,강남구,True,Gangnam Dongin Church,1,37.522331,127.057388
1000026,서울,양천구,True,Biblical Language study meeting,3,37.524623,126.843118
1000027,서울,서초구,True,Seocho Family,5,-,-
1000028,서울,타도시,True,Anyang Gunpo Pastors Group,1,-,-
1000029,서울,강남구,True,Samsung Fire & Marine Insurance,4,37.498279,127.030139
1000030,서울,강서구,True,SJ Investment Call Center,0,37.559649,126.835102
1000031,서울,타도시,True,Yongin Brothers,4,-,-
