date,time,sex,confirmed,deceased
2020-03-02,0,male,1591,13
2020-03-02,0,female,2621,9
2020-03-03,0,male,1810,16
2020-03-03,0,female,3002,12
2020-03-04,0,male,1996,20
2020-03-04,0,female,3332,12
2020-03-05,0,male,2149,21
2020-03-05,0,female,3617,14
2020-03-06,0,male,2345,25
2020-03-06,0,female,3939,17
2020-03-07,0,male,2522,26
2020-03-07,0,female,4245,18
2020-03-08,0,male,2694,29
2020-03-08,0,female,4440,20
2020-03-09,0,male,2799,31
2020-03-09,0,female,4583,20
2020-03-10,0,male,2852,33
2020-03-10,0,female,4661,21
2020-03-11,0,male,2947,35
2020-03-11,0,female,4808,25
2020-03-12,0,male,2994,38
2020-03-12,0,female,4875,28
2020-03-13,0,male,3043,39
2020-03-13,0,female,4936,28
2020-03-14,0,male,3100,41
2020-03-14,0,female,4986,31
2020-03-15,0,male,3136,41
2020-03-15,0,female,5026,34
2020-03-16,0,male,3169,41
2020-03-16,0,female,5067,34
2020-03-17,0,male,3200,44
2020-03-17,0,female,5120,37
2020-03-18,0,male,3240,45
2020-03-18,0,female,5173,39
2020-03-19,0,male,3296,49
2020-03-19,0,female,5269,42
2020-03-20,0,male,3330,51
2020-03-20,0,female,5322,43
2020-03-21,0,male,3387,54
2020-03-21,0,female,5412,48
2020-03-22,0,male,3430,55
2020-03-22,0,female,5467,49
2020-03-23,0,male,3457,58
2020-03-23,0,female,5504,53
2020-03-24,0,male,3497,60
2020-03-24,0,female,5540,60
2020-03-25,0,male,3550,64
2020-03-25,0,female,5587,62
2020-03-26,0,male,3598,68
2020-03-26,0,female,5643,63
2020-03-27,0,male,3638,75
2020-03-27,0,female,5694,64
2020-03-28,0,male,3736,77
2020-03-28,0,female,5742,67
2020-03-29,0,male,3799,78
2020-03-29,0,female,5784,74
2020-03-30,0,male,3834,80
2020-03-30,0,female,5827,78
2020-03-31,0,male,3905,82
2020-03-31,0,female,5881,80
2020-04-01,0,male,3946,84
2020-04-01,0,female,5941,81
2020-04-02,0,male,3979,87
2020-04-02,0,female,5997,82
2020-04-03,0,male,4013,92
2020-04-03,0,female,6049,82
2020-04-04,0,male,4052,94
2020-04-04,0,female,6104,83
2020-04-05,0,male,4098,97
2020-04-05,0,female,6139,86
2020-04-06,0,male,4118,98
2020-04-06,0,female,6166,88
2020-04-07,0,male,4138,101
2020-04-07,0,female,6193,91
2020-04-08,0,male,4163,106
2020-04-08,0,female,6221,94
2020-04-09,0,male,4185,107
2020-04-09,0,female,6238,97
2020-04-10,0,male,4200,109
2020-04-10,0,female,6250,99
2020-04-11,0,male,4215,111
2020-04-11,0,female,6265,100
2020-04-12,0,male,4229,113
2020-04-12,0,female,6283,101
2020-04-13,0,male,4243,115
2020-04-13,0,female,6294,102
2020-04-14,0,male,4256,116
2020-04-14,0,female,6308,106
2020-04-15,0,male,4266,118
2020-04-15,0,female,6325,107
