,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,한국장학재단,교육,우체국쇼핑,쇼핑,경기지역화폐,금융,국세청 홈택스,도구,카트라이더 러쉬플러스,자동차 경주,카트라이더 러쉬플러스,자동차 경주
1,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,공영쇼핑 - 공영홈쇼핑,쇼핑,블레스 모바일,롤플레잉,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,새 천하를 열다 RED,기타,프렌즈타임,엔터테인먼트
2,Woodturning,시뮬레이션,샤이닝라이트,롤플레잉,ZOOM Cloud Meetings,비즈니스,Legends of Runeterra,카드,삼국연의M,전략,포코롱던전,퍼즐
3,국세청 홈택스,도구,대장장이 용병단 : 합성 방치형 RPG,롤플레잉,Monument Valley 2,퍼즐,ZOOM Cloud Meetings,비즈니스,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑
4,쿠팡 (Coupang),쇼핑,Netflix(넷플릭스),엔터테인먼트,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,Soccer wave,기타,VITA,동영상 플레이어/편집기,애니팡4,퍼즐
5,바비톡 - 대한민국 1등 성형앱 & 뷰티 커뮤니티,뷰티,Zombie Fight - Pvp battles,기타,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,현대카드 DIVE,뉴스/잡지,YouTube,동영상 플레이어/편집기,FaceApp,사진
6,Netflix(넷플릭스),엔터테인먼트,엘프:드래곤소환사,롤플레잉,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트
7,YouTube,동영상 플레이어/편집기,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Axe Hit Mania,기타,책략삼국지,전략,카카오톡 KakaoTalk,커뮤니케이션,YouTube,동영상 플레이어/편집기
8,토스,금융,AFK 아레나,롤플레잉,NetTools+ Pro,기타,쿠팡 (Coupang),쇼핑,Escape the clutches,기타,카카오톡 KakaoTalk,커뮤니케이션
9,카카오톡 KakaoTalk,커뮤니케이션,디즈니 팝 타운,퍼즐,밴드,소셜,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,Instagram,소셜,Instagram,소셜
10,카카오뱅크 - 같지만 다른 은행,금융,Rummikub,보드,Google Classroom,교육,토스,금융,TikTok 틱톡,동영상 플레이어/편집기,ZOOM Cloud Meetings,비즈니스
11,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",교육,쿠팡 (Coupang),쇼핑,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",교육,경기지역화폐,금융,네이버 - NAVER,도서/참고자료,네이버 - NAVER,도서/참고자료
12,Instagram,소셜,Slap Kings,액션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,케페우스M,롤플레잉,올리브영,쇼핑,TikTok 틱톡,동영상 플레이어/편집기
13,에이블리 - 셀럽마켓 모음앱,쇼핑,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,올리브영,쇼핑,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,배달의민족,식음료,배달의민족,식음료
14,브랜디 - 여성들의 쇼핑맛집,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,현대카드 DIVE,뉴스/잡지,언니의파우치,기타,SODA 소다 - Natural Beauty Camera,사진,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션
15,(New) 우리은행 우리WON뱅킹,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Lara Croft GO,퍼즐,내 곁에 국민연금,금융,Facebook,소셜,쿠팡 (Coupang),쇼핑
16,배달의민족,식음료,Amway,비즈니스,에이블리 - 셀럽마켓 모음앱,쇼핑,Instagram,소셜,"네이버 지도, 내비게이션",여행 및 지역정보,Tangle Master 3D,퍼즐
17,네이버 - NAVER,도서/참고자료,배달의민족,식음료,에브리싱 No. 1 스마트 노래방,음악/오디오,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",교육,뮤 아크엔젤,롤플레잉,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어
