,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,블레이드&소울 레볼루션,롤플레잉,블레이드&소울 레볼루션,롤플레잉,블레이드&소울 레볼루션,롤플레잉,브롤스타즈,액션,블레이드&소울 레볼루션,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,리니지2 레볼루션,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,라이즈 오브 킹덤즈,전략,라이즈 오브 킹덤즈,전략,리니지2M,롤플레잉,리니지2M,롤플레잉
1,검은사막 모바일,롤플레잉,브롤스타즈,액션,리니지M(12),롤플레잉,리니지M(12),롤플레잉,검은사막 모바일,롤플레잉,리니지2 레볼루션,롤플레잉,카카오톡 KakaoTalk,커뮤니케이션,모두의마블,보드,카카오톡 KakaoTalk,커뮤니케이션,리니지M,롤플레잉,라이즈 오브 킹덤즈,전략,라이즈 오브 킹덤즈,전략
2,FIFA ONLINE 4 M by EA SPORTS™,스포츠,카카오톡 KakaoTalk,커뮤니케이션,브롤스타즈,액션,검은사막 모바일,롤플레잉,리니지M(12),롤플레잉,BTS WORLD,캐주얼 게임,카카오페이지 KakaoPage,도서/참고자료,브롤스타즈,액션,카카오페이지 KakaoPage,도서/참고자료,랑그릿사,전략,블레이드&소울 레볼루션,롤플레잉,카카오톡 KakaoTalk,커뮤니케이션
3,리니지M(12),롤플레잉,카카오페이지 KakaoPage,도서/참고자료,리니지2 레볼루션,롤플레잉,카카오페이지 KakaoPage,도서/참고자료,킹 오브 파이터 올스타,액션,블레이드&소울 레볼루션,롤플레잉,라플라스M,롤플레잉,리니지M(12),롤플레잉,YouTube,동영상 플레이어/편집기,카카오톡 KakaoTalk,커뮤니케이션,V4,롤플레잉,리니지M,롤플레잉
4,모두의마블,보드,삼국지M,전략,모두의마블,보드,네이버 웹툰 - Naver Webtoon,만화,카카오페이지 KakaoPage,도서/참고자료,일곱 개의 대죄: GRAND CROSS,롤플레잉,리니지M(12),롤플레잉,카카오톡 KakaoTalk,커뮤니케이션,네이버 웹툰 - Naver Webtoon,만화,카카오페이지 KakaoPage,도서/참고자료,카카오톡 KakaoTalk,커뮤니케이션,카카오페이지 KakaoPage,도서/참고자료
5,카카오페이지 KakaoPage,도서/참고자료,리니지M(12),롤플레잉,카카오페이지 KakaoPage,도서/참고자료,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,리니지M(12),롤플레잉,프린세스 커넥트! Re:Dive,롤플레잉,블레이드&소울 레볼루션,롤플레잉,리니지M,롤플레잉,블레이드&소울 레볼루션,롤플레잉,YouTube,동영상 플레이어/편집기,YouTube,동영상 플레이어/편집기
6,카카오톡 KakaoTalk,커뮤니케이션,리니지2 레볼루션,롤플레잉,검은사막 모바일,롤플레잉,리니지2 레볼루션,롤플레잉,궁수의 전설,액션,킹 오브 파이터 올스타,액션,네이버 웹툰 - Naver Webtoon,만화,라플라스M,롤플레잉,리니지2 레볼루션,롤플레잉,YouTube,동영상 플레이어/편집기,리니지M,롤플레잉,네이버 웹툰 - Naver Webtoon,만화
7,왕이되는자,롤플레잉,왕이되는자,롤플레잉,삼국지M,전략,YouTube,동영상 플레이어/편집기,네이버 웹툰 - Naver Webtoon,만화,카카오페이지 KakaoPage,도서/참고자료,FIFA ONLINE 4 M by EA SPORTS™,스포츠,리니지2 레볼루션,롤플레잉,오늘도 우라라 원시 헌팅 라이프,롤플레잉,라플라스M,롤플레잉,네이버 웹툰 - Naver Webtoon,만화,V4,롤플레잉
8,삼국지M,전략,쿠키런: 오븐브레이크,아케이드,네이버 웹툰 - Naver Webtoon,만화,삼국지M,전략,YouTube,동영상 플레이어/편집기,카카오톡 KakaoTalk,커뮤니케이션,YouTube,동영상 플레이어/편집기,네이버 웹툰 - Naver Webtoon,만화,SERIES - 네이버 시리즈,도서/참고자료,네이버 웹툰 - Naver Webtoon,만화,카카오페이지 KakaoPage,도서/참고자료,FIFA ONLINE 4 M by EA SPORTS™,스포츠
9,브롤스타즈,액션,YouTube,동영상 플레이어/편집기,카카오톡 KakaoTalk,커뮤니케이션,쿠키런: 오븐브레이크,아케이드,삼국지M,전략,랑그릿사,전략,블레이드&소울 레볼루션,롤플레잉,카카오페이지 KakaoPage,도서/참고자료,라플라스M,롤플레잉,리니지2 레볼루션,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,일곱 개의 대죄: GRAND CROSS,롤플레잉
10,네이버 웹툰 - Naver Webtoon,만화,검은사막 모바일,롤플레잉,린: 더 라이트브링어,롤플레잉,황제라 칭하라,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,궁수의 전설,액션,일곱 개의 대죄: GRAND CROSS,롤플레잉,YouTube,동영상 플레이어/편집기,FIFA ONLINE 4 M by EA SPORTS™,스포츠,SERIES - 네이버 시리즈,도서/참고자료,리니지2 레볼루션,롤플레잉,블레이드&소울 레볼루션,롤플레잉
11,리니지2 레볼루션,롤플레잉,네이버 웹툰 - Naver Webtoon,만화,왕이되는자,롤플레잉,왕이되는자,롤플레잉,쿠키런: 오븐브레이크,아케이드,네이버 웹툰 - Naver Webtoon,만화,왕이되는자,롤플레잉,프린세스 커넥트! Re:Dive,롤플레잉,검은사막 모바일,롤플레잉,기적의 검,롤플레잉,메이플스토리M,롤플레잉,SERIES - 네이버 시리즈,도서/참고자료
12,YouTube,동영상 플레이어/편집기,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,YouTube,동영상 플레이어/편집기,모두의마블,보드,프린세스 커넥트! Re:Dive,롤플레잉,YouTube,동영상 플레이어/편집기,SERIES - 네이버 시리즈,도서/참고자료,검은사막 모바일,롤플레잉,황제라 칭하라,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,검은사막 모바일,롤플레잉,기적의 검,롤플레잉
13,스피릿위시,롤플레잉,로드 모바일: 제국의 전쟁 - MMORPG,전략,FIFA ONLINE 4 M by EA SPORTS™,스포츠,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,메이플스토리M,롤플레잉,SERIES - 네이버 시리즈,도서/참고자료,검은사막 모바일,롤플레잉,BTS WORLD,캐주얼 게임,기적의 검,롤플레잉,일곱 개의 대죄: GRAND CROSS,롤플레잉,리니지2M(12),롤플레잉,원피스 트레저 크루즈,롤플레잉
14,SERIES - 네이버 시리즈,도서/참고자료,원피스 트레저 크루즈,롤플레잉,SERIES - 네이버 시리즈,도서/참고자료,FIFA ONLINE 4 M by EA SPORTS™,스포츠,MARVEL 퓨처파이트,롤플레잉,배틀그라운드,액션,쿠키런: 오븐브레이크,아케이드,일곱 개의 대죄: GRAND CROSS,롤플레잉,일곱 개의 대죄: GRAND CROSS,롤플레잉,왕이되는자,롤플레잉,SERIES - 네이버 시리즈,도서/참고자료,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트
