,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션
1,하쿠나 라이브 -  Live 방송,엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트
2,위피 - 동네 친구가 필요할 때,소셜,왓챠플레이,엔터테인먼트,왓챠플레이,엔터테인먼트,왓챠플레이,엔터테인먼트,왓챠플레이,엔터테인먼트,왓챠플레이,엔터테인먼트
3,왓챠플레이,엔터테인먼트,위피 - 동네 친구가 필요할 때,소셜,Google One,생산성,Google One,생산성,Google One,생산성,Google One,생산성
4,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,Google One,생산성,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,위피 - 동네 친구가 필요할 때,소셜,위피 - 동네 친구가 필요할 때,소셜
5,Google One,생산성,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트
6,정오의 데이트,소셜,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,위피 - 동네 친구가 필요할 때,소셜,위피 - 동네 친구가 필요할 때,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜
7,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,정오의 데이트,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션
8,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,정오의 데이트,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,심쿵 소개팅 - 동네 이성친구 사귀기,소셜
9,글램 - 모든 매력적인 만남,데이트,글램 - 모든 매력적인 만남,데이트,글램 - 모든 매력적인 만남,데이트,정오의 데이트,소셜,글램 - 모든 매력적인 만남,데이트,글램 - 모든 매력적인 만남,데이트
10,라인 플레이 – 전세계 No.1 패션 게임,소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,글램 - 모든 매력적인 만남,데이트,정오의 데이트,소셜,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트
11,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,정오의 데이트,소셜
