157.55.35.45 - - [18/May/2015:03:05:27 +0000] "GET /articles/dynamic-dns-with-dhcp/ HTTP/1.1" 200 18848 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
79.83.255.199 - - [18/May/2015:03:05:54 +0000] "GET /blog/geekery/bypassing-captive-portals.html HTTP/1.1" 200 10613 "https://www.google.fr/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
79.83.255.199 - - [18/May/2015:03:05:48 +0000] "GET /reset.css HTTP/1.1" 200 1015 "http://www.semicomplete.com/blog/geekery/bypassing-captive-portals.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
79.83.255.199 - - [18/May/2015:03:05:31 +0000] "GET /style2.css HTTP/1.1" 200 4877 "http://www.semicomplete.com/blog/geekery/bypassing-captive-portals.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
79.83.255.199 - - [18/May/2015:03:05:27 +0000] "GET /images/jordan-80.png HTTP/1.1" 200 6146 "http://www.semicomplete.com/blog/geekery/bypassing-captive-portals.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
79.83.255.199 - - [18/May/2015:03:05:46 +0000] "GET /images/web/2009/banner.png HTTP/1.1" 200 52315 "http://www.semicomplete.com/blog/geekery/bypassing-captive-portals.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
79.83.255.199 - - [18/May/2015:03:05:13 +0000] "GET /favicon.ico HTTP/1.1" 200 3638 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
50.16.19.13 - - [18/May/2015:03:05:11 +0000] "GET /blog/tags/puppet?flav=rss20 HTTP/1.1" 200 14872 "http://www.semicomplete.com/blog/tags/puppet?flav=rss20" "Tiny Tiny RSS/1.11 (http://tt-rss.org/)"
46.105.14.53 - - [18/May/2015:03:05:01 +0000] "GET /blog/tags/puppet?flav=rss20 HTTP/1.1" 200 14872 "-" "UniversalFeedParser/4.2-pre-314-svn +http://feedparser.org/"
178.255.215.71 - - [18/May/2015:03:05:23 +0000] "GET /blog/site/183.html HTTP/1.1" 200 8590 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
66.249.73.185 - - [18/May/2015:03:05:03 +0000] "GET /files/xmlpresenter/ HTTP/1.1" 200 950 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
208.93.0.48 - - [18/May/2015:03:05:00 +0000] "GET /?flav=rss20 HTTP/1.1" 200 29941 "-" "LiveJournal.com (webmaster@livejournal.com; for http://www.livejournal.com/users/cshpsionic/; 8 readers)"
208.91.156.11 - - [18/May/2015:03:05:46 +0000] "GET /files/logstash/logstash-1.3.2-monolithic.jar HTTP/1.1" 404 324 "-" "Chef Client/10.18.2 (ruby-1.9.3-p327; ohai-6.16.0; x86_64-linux; +http://opscode.com)"
66.249.73.135 - - [18/May/2015:03:05:03 +0000] "GET /blog/tags/firefox?flav=rss20 HTTP/1.1" 200 16021 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
207.241.237.228 - - [18/May/2015:03:05:32 +0000] "GET /blog/geekery/xdotool-2.20100623.html HTTP/1.0" 200 11954 "http://www.semicomplete.com/blog/tags/xdotool" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
207.241.237.228 - - [18/May/2015:03:05:15 +0000] "GET /blog/tags/glob HTTP/1.0" 200 9171 "http://www.semicomplete.com/blog/tags/logstash" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
207.241.237.228 - - [18/May/2015:03:05:26 +0000] "GET /blog/tags/motherboards HTTP/1.0" 200 9368 "http://www.semicomplete.com/blog/tags/linux" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
66.249.73.135 - - [18/May/2015:03:05:05 +0000] "GET /blog/tags/xlib?page=2 HTTP/1.1" 200 24410 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
207.241.237.228 - - [18/May/2015:03:05:00 +0000] "GET /blog/tags/virtualization HTTP/1.0" 200 12416 "http://www.semicomplete.com/blog/tags/linux" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
207.241.237.228 - - [18/May/2015:03:05:12 +0000] "GET /blog/tags/upgrades HTTP/1.0" 200 10732 "http://www.semicomplete.com/blog/tags/linux" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
207.241.237.228 - - [18/May/2015:03:05:02 +0000] "GET /blog/geekery/fedora-9-subversion-1.5.html HTTP/1.0" 200 8877 "http://www.semicomplete.com/blog/tags/linux" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
207.241.237.228 - - [18/May/2015:03:05:24 +0000] "GET /blog/geekery/firewall-reset-for-testing.html HTTP/1.0" 200 10395 "http://www.semicomplete.com/blog/tags/linux" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
