adstrd_code,adstrd_nm,brtc_nm,signgu_nm
11110515.0,청운효자동,서울특별시,종로구
11110530.0,사직동,서울특별시,종로구
11110540.0,삼청동,서울특별시,종로구
11110550.0,부암동,서울특별시,종로구
11110560.0,평창동,서울특별시,종로구
11110570.0,무악동,서울특별시,종로구
11110580.0,교남동,서울특별시,종로구
11110600.0,가회동,서울특별시,종로구
11110615.0,종로1.2.3.4가동,서울특별시,종로구
11110630.0,종로5.6가동,서울특별시,종로구
11110640.0,이화동,서울특별시,종로구
11110650.0,혜화동,서울특별시,종로구
11110670.0,창신1동,서울특별시,종로구
11110680.0,창신2동,서울특별시,종로구
11110690.0,창신3동,서울특별시,종로구
11110700.0,숭인1동,서울특별시,종로구
11110710.0,숭인2동,서울특별시,종로구
11140520.0,소공동,서울특별시,중구
11140540.0,회현동,서울특별시,중구
11140550.0,명동,서울특별시,중구
11140570.0,필동,서울특별시,중구
11140580.0,장충동,서울특별시,중구
11140590.0,광희동,서울특별시,중구
11140605.0,을지로동,서울특별시,중구
11140615.0,신당동,서울특별시,중구
11140625.0,다산동,서울특별시,중구
11140635.0,약수동,서울특별시,중구
11140645.0,청구동,서울특별시,중구
11140650.0,신당5동,서울특별시,중구
11140665.0,동화동,서울특별시,중구
11140670.0,황학동,서울특별시,중구
11140680.0,중림동,서울특별시,중구
11170510.0,후암동,서울특별시,용산구
11170520.0,용산2가동,서울특별시,용산구
11170530.0,남영동,서울특별시,용산구
11170555.0,청파동,서울특별시,용산구
11170560.0,원효로1동,서울특별시,용산구
11170570.0,원효로2동,서울특별시,용산구
11170580.0,효창동,서울특별시,용산구
11170590.0,용문동,서울특별시,용산구
11170625.0,한강로동,서울특별시,용산구
11170630.0,이촌1동,서울특별시,용산구
11170640.0,이촌2동,서울특별시,용산구
11170650.0,이태원1동,서울특별시,용산구
11170660.0,이태원2동,서울특별시,용산구
11170685.0,한남동,서울특별시,용산구
11170690.0,서빙고동,서울특별시,용산구
11170700.0,보광동,서울특별시,용산구
11200520.0,왕십리2동,서울특별시,성동구
11200535.0,왕십리도선동,서울특별시,성동구
11200540.0,마장동,서울특별시,성동구
11200550.0,사근동,서울특별시,성동구
11200560.0,행당1동,서울특별시,성동구
11200570.0,행당2동,서울특별시,성동구
11200580.0,응봉동,서울특별시,성동구
11200590.0,금호1가동,서울특별시,성동구
11200615.0,금호2.3가동,서울특별시,성동구
11200620.0,금호4가동,서울특별시,성동구
11200645.0,옥수동,서울특별시,성동구
11200650.0,성수1가1동,서울특별시,성동구
11200660.0,성수1가2동,서울특별시,성동구
11200670.0,성수2가1동,서울특별시,성동구
11200690.0,성수2가3동,서울특별시,성동구
11200720.0,송정동,서울특별시,성동구
11200790.0,용답동,서울특별시,성동구
11215710.0,화양동,서울특별시,광진구
11215730.0,군자동,서울특별시,광진구
11215740.0,중곡1동,서울특별시,광진구
11215750.0,중곡2동,서울특별시,광진구
11215760.0,중곡3동,서울특별시,광진구
11215770.0,중곡4동,서울특별시,광진구
11215780.0,능동,서울특별시,광진구
