,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,@yoojinkim camera,사진,Noteshelf — Note Taking | Handwritten | PDF Markup,생산성,Noteshelf — Note Taking | Handwritten | PDF Markup,생산성,Noteshelf — Note Taking | Handwritten | PDF Markup,생산성,Noteshelf — Note Taking | Handwritten | PDF Markup,생산성,Noteshelf — Note Taking | Handwritten | PDF Markup,생산성
1,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성,유니콘:광고차단 필수 앱,생산성
2,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료,@picn2k camera (피크닉 카메라),Photo & Video,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료
3,Plague Inc. (전염병 주식회사): 시나리오 제작기,생산성,nPlayer,동영상 플레이어/편집기,nPlayer,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,@yoojinkim camera,사진,@picn2k camera (피크닉 카메라),Photo & Video
4,우와! 2.0 - 화면을 깨고 동전이 나오는 마술앱2,엔터테인먼트,MX 플레이어 Pro,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,갓피플성경,도서/참고자료,nPlayer,동영상 플레이어/편집기,한컴오피스 한글,비즈니스
5,LectureNotes,생산성,무음무음 PRO,사진,@picn2k camera (피크닉 카메라),Photo & Video,nPlayer,동영상 플레이어/편집기,한컴오피스 한글,비즈니스,nPlayer,동영상 플레이어/편집기
6,@picn2k camera (피크닉 카메라),Photo & Video,LectureNotes,생산성,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,MX 플레이어 Pro,동영상 플레이어/편집기,@picn2k camera (피크닉 카메라),Photo & Video,MX 플레이어 Pro,동영상 플레이어/편집기
7,nPlayer,동영상 플레이어/편집기,Live Wallpapers by Wave,맞춤 설정,MX 플레이어 Pro,동영상 플레이어/편집기,Torque Pro (OBD2 / 자동차),커뮤니케이션,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,USB Audio Player PRO,음악/오디오
8,MX 플레이어 Pro,동영상 플레이어/편집기,Plague Inc. (전염병 주식회사): 시나리오 제작기,생산성,무음무음 PRO,사진,Word master 워드마스터 수능 2000(18개정),교육,MX 플레이어 Pro,동영상 플레이어/편집기,Torque Pro (OBD2 / 자동차),커뮤니케이션
9,Flashcards Deluxe,교육,한컴오피스 한글,비즈니스,LectureNotes,생산성,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,Velo VPN Pro,도구,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성
10,Word master 워드마스터 수능 2000(18개정),교육,@picn2k camera (피크닉 카메라),Photo & Video,Panda Gamepad Pro (BETA),도구,WolframAlpha,도서/참고자료,무음무음 PRO,사진,Puffin Browser Pro,커뮤니케이션
