,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,리니지2M,롤플레잉,AFK 아레나,롤플레잉,AFK 아레나,롤플레잉,리니지M,롤플레잉,카트라이더 러쉬플러스,자동차 경주,카트라이더 러쉬플러스,자동차 경주
1,리니지M,롤플레잉,카카오톡 KakaoTalk,커뮤니케이션,블레이드&소울 레볼루션,롤플레잉,리니지2M,롤플레잉,AFK 아레나,롤플레잉,YouTube,동영상 플레이어/편집기
2,카카오톡 KakaoTalk,커뮤니케이션,리니지2M,롤플레잉,라이즈 오브 킹덤즈,전략,라이즈 오브 킹덤즈,전략,YouTube,동영상 플레이어/편집기,카카오톡 KakaoTalk,커뮤니케이션
3,YouTube,동영상 플레이어/편집기,리니지M,롤플레잉,리니지2M,롤플레잉,카카오톡 KakaoTalk,커뮤니케이션,네이버 웹툰 - Naver Webtoon,만화,네이버 웹툰 - Naver Webtoon,만화
4,네이버 웹툰 - Naver Webtoon,만화,블레이드&소울 레볼루션,롤플레잉,A3: 스틸얼라이브,롤플레잉,YouTube,동영상 플레이어/편집기,카카오톡 KakaoTalk,커뮤니케이션,리니지M,롤플레잉
5,카카오페이지 KakaoPage,도서/참고자료,YouTube,동영상 플레이어/편집기,리니지M,롤플레잉,네이버 웹툰 - Naver Webtoon,만화,리니지M,롤플레잉,리니지2M,롤플레잉
6,FIFA ONLINE 4 M by EA SPORTS™,스포츠,모두의마블,보드,카카오톡 KakaoTalk,커뮤니케이션,AFK 아레나,롤플레잉,카카오페이지 KakaoPage,도서/참고자료,FIFA ONLINE 4 M by EA SPORTS™,스포츠
7,쿠키런: 오븐브레이크,아케이드,랜덤 다이스(Random Dice) : PvP 디펜스,전략,YouTube,동영상 플레이어/편집기,V4,롤플레잉,리니지2M,롤플레잉,카카오페이지 KakaoPage,도서/참고자료
8,메이플스토리M,롤플레잉,라이즈 오브 킹덤즈,전략,FIFA ONLINE 4 M by EA SPORTS™,스포츠,A3: 스틸얼라이브,롤플레잉,배틀그라운드,액션,AFK 아레나,롤플레잉
9,라이즈 오브 킹덤즈,전략,네이버 웹툰 - Naver Webtoon,만화,네이버 웹툰 - Naver Webtoon,만화,카카오페이지 KakaoPage,도서/참고자료,블레이드&소울 레볼루션,롤플레잉,뮤 아크엔젤,롤플레잉
10,V4,롤플레잉,카카오페이지 KakaoPage,도서/참고자료,카카오페이지 KakaoPage,도서/참고자료,라플라스M,롤플레잉,메이플스토리M,롤플레잉,스톤에이지 월드,롤플레잉
11,랜덤 다이스(Random Dice) : PvP 디펜스,전략,쿠키런: 오븐브레이크,아케이드,V4,롤플레잉,랜덤 다이스(Random Dice) : PvP 디펜스,전략,라이즈 오브 킹덤즈,전략,그랑삼국,롤플레잉
12,SERIES - 네이버 시리즈,도서/참고자료,FIFA ONLINE 4 M by EA SPORTS™,스포츠,랜덤 다이스(Random Dice) : PvP 디펜스,전략,쿠키런: 오븐브레이크,아케이드,SERIES - 네이버 시리즈,도서/참고자료,FIFA Mobile,스포츠
13,블레이드&소울 레볼루션,롤플레잉,삼국지M,전략,리니지2 레볼루션,롤플레잉,명일방주,전략,랜덤 다이스(Random Dice) : PvP 디펜스,전략,리니지2 레볼루션,롤플레잉
14,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,V4,롤플레잉,메이플스토리M,롤플레잉,블레이드&소울 레볼루션,롤플레잉,A3: 스틸얼라이브,롤플레잉,라이즈 오브 킹덤즈,전략
15,기적의 검,롤플레잉,메이플스토리M,롤플레잉,기적의 검,롤플레잉,브롤스타즈,액션,쿠키런: 오븐브레이크,아케이드,SERIES - 네이버 시리즈,도서/참고자료
16,eFootball PES 2020,스포츠,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,SERIES - 네이버 시리즈,도서/참고자료,메이플스토리M,롤플레잉,리니지2 레볼루션,롤플레잉,랜덤 다이스(Random Dice) : PvP 디펜스,전략
17,엑소스 히어로즈,롤플레잉,기적의 검,롤플레잉,황제라 칭하라,롤플레잉,리니지2 레볼루션,롤플레잉,왕이되는자,롤플레잉,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트
18,프린세스 커넥트! Re:Dive,롤플레잉,브롤스타즈,액션,클래시 오브 클랜,전략,왕이되는자,롤플레잉,FIFA ONLINE 4 M by EA SPORTS™,스포츠,배틀그라운드,액션
19,리니지2 레볼루션,롤플레잉,리니지2 레볼루션,롤플레잉,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,SERIES - 네이버 시리즈,도서/참고자료,V4,롤플레잉,A3: 스틸얼라이브,롤플레잉
20,왓챠플레이,엔터테인먼트,SERIES - 네이버 시리즈,도서/참고자료,쿠키런: 오븐브레이크,아케이드,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,뮤 아크엔젤,롤플레잉,V4,롤플레잉
21,멜론,음악/오디오,검은사막 모바일,롤플레잉,배틀그라운드,액션,삼국지M,전략,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,메이플스토리M,롤플레잉
22,검은사막 모바일,롤플레잉,라플라스M,롤플레잉,일곱 개의 대죄: GRAND CROSS,롤플레잉,황제라 칭하라,롤플레잉,브롤스타즈,액션,왓챠플레이,엔터테인먼트
23,킹 오브 파이터 올스타,액션,스푼 라디오 - Be A LIVE,음악/오디오,스푼 라디오 - Be A LIVE,음악/오디오,왓챠플레이,엔터테인먼트,일곱 개의 대죄: GRAND CROSS,롤플레잉,왕이되는자,롤플레잉
24,황제라 칭하라,롤플레잉,왓챠플레이,엔터테인먼트,왕이되는자,롤플레잉,스푼 라디오 - Be A LIVE,음악/오디오,왓챠플레이,엔터테인먼트,블레이드&소울 레볼루션,롤플레잉
25,스푼 라디오 - Be A LIVE,음악/오디오,황제라 칭하라,롤플레잉,멜론,음악/오디오,검은사막 모바일,롤플레잉,모두의마블,보드,Age of Z,전략
26,클래시 오브 클랜,전략,명일방주,전략,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,배틀그라운드,액션,황제라 칭하라,롤플레잉,일곱 개의 대죄: GRAND CROSS,롤플레잉
27,배틀그라운드,액션,배틀그라운드,액션,하쿠나 라이브 -  Live 방송,엔터테인먼트,랑그릿사,전략,스푼 라디오 - Be A LIVE,음악/오디오,스푼 라디오 - Be A LIVE,음악/오디오
28,삼국지M,전략,클래시 오브 클랜,전략,꿈의 정원 (Gardenscapes),캐주얼 게임,G-TV,기타,꿈의 정원 (Gardenscapes),캐주얼 게임,케페우스M,롤플레잉
29,명일방주,전략,왕이되는자,롤플레잉,검은사막 모바일,롤플레잉,멜론,음악/오디오,기적의 검,롤플레잉,기적의 검,롤플레잉
30,왕이되는자,롤플레잉,R5,롤플레잉,왓챠플레이,엔터테인먼트,Age of Z,전략,멜론,음악/오디오,황제라 칭하라,롤플레잉
31,Netflix(넷플릭스),엔터테인먼트,마피아42,전략,Netflix(넷플릭스),엔터테인먼트,리니지2M(12),롤플레잉,꿈의 집 (Homescapes),캐주얼 게임,쿠키런: 오븐브레이크,아케이드
32,로한M(18),기타,일곱 개의 대죄: GRAND CROSS,롤플레잉,원피스 트레저 크루즈,롤플레잉,기적의 검,롤플레잉,케페우스M,롤플레잉,멜론,음악/오디오
33,뇌명천하,롤플레잉,멜론,음악/오디오,다음웹툰 - DAUM WEBTOON,만화,꿈의 정원 (Gardenscapes),캐주얼 게임,라플라스M,롤플레잉,꿈의 정원 (Gardenscapes),캐주얼 게임
34,BTS WORLD,캐주얼 게임,꿈의 정원 (Gardenscapes),캐주얼 게임,Age of Z,전략,Netflix(넷플릭스),엔터테인먼트,Netflix(넷플릭스),엔터테인먼트,삼국지M,전략
35,일곱 개의 대죄: GRAND CROSS,롤플레잉,Netflix(넷플릭스),엔터테인먼트,꿈의 집 (Homescapes),캐주얼 게임,페이트/그랜드 오더,롤플레잉,Age of Z,전략,원피스 트레저 크루즈,롤플레잉
36,샤이닝라이트,롤플레잉,Forest: 집중하기,생산성,BTS WORLD,캐주얼 게임,하쿠나 라이브 -  Live 방송,엔터테인먼트,위피 - 동네 친구가 필요할 때,소셜,Netflix(넷플릭스),엔터테인먼트
37,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,붕괴3rd,액션,클론다이크 어드벤처,시뮬레이션,킹 오브 파이터 올스타,액션,하쿠나 라이브 -  Live 방송,엔터테인먼트,위피 - 동네 친구가 필요할 때,소셜
38,하쿠나 라이브 -  Live 방송,엔터테인먼트,다음웹툰 - DAUM WEBTOON,만화,삼국지M,전략,일곱 개의 대죄: GRAND CROSS,롤플레잉,로드 오브 히어로즈,롤플레잉,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션
